session_id,sink_id,sensor_id,water_amount,duration,start_time,end_time,date
1,bathroom,12346,1.81,120,7:32:00,7:34:00,2024-05-27
1,bathroom,12346,1.99,60,8:05:00,8:06:00,2024-05-27
1,bathroom,12346,2.53,120,12:07:00,12:09:00,2024-05-27
1,bathroom,12346,2.67,120,18:00:00,18:02:00,2024-05-27
1,bathroom,12346,3.41,180,21:27:00,21:30:00,2024-05-27
1,bathroom,12346,2.91,90,7:34:00,7:35:30,2024-05-28
1,bathroom,12346,2.07,60,13:01:00,13:02:00,2024-05-28
1,bathroom,12346,2.78,120,18:00:00,18:02:00,2024-05-28
1,bathroom,12346,2.65,120,21:24:00,21:26:00,2024-05-28
1,bathroom,12346,3.67,180,7:33:00,7:36:00,2024-05-29
1,bathroom,12346,1.98,60,8:12:00,8:13:00,2024-05-29
1,bathroom,12346,2.13,60,12:01:00,12:02:00,2024-05-29
1,bathroom,12346,2.09,60,12:44:00,12:45:00,2024-05-29
1,bathroom,12346,2.98,120,21:23:00,21:25:00,2024-05-29
1,bathroom,12346,2.89,120,7:35:00,7:37:00,2024-05-30
1,bathroom,12346,2.01,60,12:45:00,12:46:00,2024-05-30
1,bathroom,12346,2.98,120,18:00:00,18:02:00,2024-05-30
1,bathroom,12346,3.45,180,21:27:00,21:30:00,2024-05-30
1,bathroom,12346,2.87,120,7:37:00,7:39:00,2024-05-31
1,bathroom,12346,2.78,120,9:18:00,9:20:00,2024-05-31
1,bathroom,12346,2.98,120,12:01:00,12:03:00,2024-05-31
1,bathroom,12346,1.67,60,13:00:00,13:01:00,2024-05-31
1,bathroom,12346,1.66,60,15:10:00,15:11:00,2024-05-31
1,bathroom,12346,2.56,120,17:16:00,17:18:00,2024-05-31
1,bathroom,12346,2.78,120,21:16:00,21:18:00,2024-05-31
1,bathroom,12346,3.56,180,9:15:00,9:18:00,2024-06-01
1,bathroom,12346,2.11,120,10:35:00,10:37:00,2024-06-01
1,bathroom,12346,1.98,90,12:53:00,12:54:30,2024-06-01
1,bathroom,12346,2.33,120,14:03:00,14:04:00,2024-06-01
1,bathroom,12346,3.33,180,17:31:00,17:34:00,2024-06-01
1,bathroom,12346,3.11,180,20:31:00,20:34:00,2024-06-01
1,bathroom,12346,2.77,120,21:29:00,21:31:00,2024-06-01
1,bathroom,12346,2.55,120,9:29:00,9:31:00,2024-06-02
1,bathroom,12346,2.78,120,12:11:00,12:13:00,2024-06-02
1,bathroom,12346,2.33,120,14:11:00,14:13:00,2024-06-02
1,bathroom,12346,2.79,120,18:14:00,18:16:00,2024-06-02
1,bathroom,12346,2.89,120,21:18:00,21:20:00,2024-06-02
1,bathroom,12346,2.99,120,9:45:00,9:47:00,2024-06-03
1,bathroom,12346,2.69,120,10:45:00,10:37:00,2024-06-03
1,bathroom,12346,2.78,120,12:55:00,12:57:00,2024-06-03
1,bathroom,12346,2.88,120,16:55:00,16:57:00,2024-06-03
1,bathroom,12346,3.21,180,18:13:00,18:16:00,2024-06-03
1,bathroom,12346,3.11,180,21:13:00,21:16:00,2024-06-03
